GeneID	Entrez	Symbol	Description	Biotype	Chr	Start	End	Strand
ENSMUSG00000029463	68948	Fam216a	Protein FAM216A  [Source:UniProtKB/Swiss-Prot;Acc:Q9DB54]	protein_coding	5	122364580	122372364	-1
ENSMUSG00000029464	68080	Gpn3	GPN-loop GTPase 3 [Source:MGI Symbol;Acc:MGI:1289326]	protein_coding	5	122371876	122382902	1
ENSMUSG00000029465	56378	Arpc3	Actin-related protein 2/3 complex subunit 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9JM76]	protein_coding	5	122391878	122414184	1
ENSMUSG00000029466	56317	Anapc7	Anaphase-promoting complex subunit 7  [Source:UniProtKB/Swiss-Prot;Acc:Q9WVM3]	protein_coding	5	122421693	122444912	1
ENSMUSG00000029467	11938	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2  [Source:UniProtKB/Swiss-Prot;Acc:O55143]	protein_coding	5	122453513	122502225	-1
ENSMUSG00000029468	18439	P2rx7	P2X purinoceptor 7  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z1M0]	protein_coding	5	122643911	122691432	1
ENSMUSG00000029469	12589	Ift81	Intraflagellar transport   [Source:UniProtKB/Swiss-Prot;Acc:O35594]	protein_coding	5	122550204	122614518	-1
ENSMUSG00000029470	18438	P2rx4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	protein_coding	5	122707544	122729738	1
ENSMUSG00000029471	207565	Camkk2	Calcium/calmodulin-dependent protein kinase kinase 2  [Source:UniProtKB/Swiss-Prot;Acc:Q8C078]	protein_coding	5	122731170	122779409	-1
ENSMUSG00000029472	59008	Anapc5	Anaphase-promoting complex subunit 5  [Source:UniProtKB/Swiss-Prot;Acc:Q8BTZ4]	protein_coding	5	122787459	122821339	-1
ENSMUSG00000029474	80751	Rnf34	E3 ubiquitin-protein ligase RNF34  [Source:UniProtKB/Swiss-Prot;Acc:Q99KR6]	protein_coding	5	122850048	122871291	1
ENSMUSG00000029475	30841	Kdm2b	Lysine-specific demethylase 2B  [Source:UniProtKB/Swiss-Prot;Acc:Q6P1G2]	protein_coding	5	122870665	122989823	-1
ENSMUSG00000029477	74890	Morn3	Mus musculus MORN repeat containing 3 (Morn3), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001347456]	protein_coding	5	123035769	123047016	-1
ENSMUSG00000029478	20602	Ncor2	Nuclear receptor corepressor 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9WU42]	protein_coding	5	125017153	125179219	-1
ENSMUSG00000029480	208144	Dhx37	DEAH-box helicase 37 [Source:HGNC Symbol;Acc:HGNC:17210]	protein_coding	5	125413858	125434121	-1
ENSMUSG00000029482	78894	Aacs	acetoacetyl-CoA synthetase [Source:MGI Symbol;Acc:MGI:1926144]	protein_coding	5	125475814	125517410	1
ENSMUSG00000029510	71951	Gpc2	glypican 2 (cerebroglycan) [Source:MGI Symbol;Acc:MGI:1919201]	protein_coding	5	138273655	138280005	-1
ENSMUSG00000029541	545817	Cyp2w1	Cytochrome P450 2W1  [Source:UniProtKB/Swiss-Prot;Acc:E9Q816]	protein_coding	5	139352617	139357033	1
ENSMUSG00000029547	68510	Ints1	integrator complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24555]	protein_coding	5	139751282	139775674	-1
ENSMUSG00000029551	66506	Psmg3	Mus musculus proteasome (prosome, macropain) assembly chaperone 3 (Psmg3), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001356963]	protein_coding	5	139823592	139826885	-1
ENSMUSG00000029554	17120	Mad1l1	Mus musculus MAD1 mitotic arrest deficient 1-like 1 (Mad1l1), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001359025]	protein_coding	5	140008689	140321552	-1
ENSMUSG00000029557	68017	Mrm2	rRNA methyltransferase 2, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q9CPY0]	protein_coding	5	140327674	140331898	-1
ENSMUSG00000029560	231834	Snx8	sorting nexin 8 [Source:MGI Symbol;Acc:MGI:2443816]	protein_coding	5	140340299	140389262	-1
ENSMUSG00000029570	16848	Lfng	Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe  [Source:UniProtKB/Swiss-Prot;Acc:O09010]	protein_coding	5	140607320	140615545	1
ENSMUSG00000029576	231858	Radil	Ras-associating and dilute domain-containing protein  [Source:UniProtKB/Swiss-Prot;Acc:Q69Z89]	protein_coding	5	142484839	142551098	-1
ENSMUSG00000029578	74781	Wipi2	WD repeat domain, phosphoinositide interacting 2 [Source:MGI Symbol;Acc:MGI:1923831]	protein_coding	5	142627698	142670588	1
ENSMUSG00000029580	11461	Actb	Actin, cytoplasmic 1 Actin, cytoplasmic 1, N-terminally processed [Source:UniProtKB/Swiss-Prot;Acc:P60710]	protein_coding	5	142903115	142906754	-1
ENSMUSG00000029581	14086	Fscn1	Fascin  [Source:UniProtKB/Swiss-Prot;Acc:Q61553]	protein_coding	5	142960343	142973185	1
ENSMUSG00000029587	231866	Zfp12	zinc finger protein 12 [Source:MGI Symbol;Acc:MGI:99157]	protein_coding	5	143235163	143248834	1
ENSMUSG00000029607	66729	Ankrd61	Ankyrin repeat domain-containing protein 61  [Source:UniProtKB/Swiss-Prot;Acc:Q9CQM6]	protein_coding	5	143890741	143897685	-1
ENSMUSG00000029610	231872	Aimp2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q8R010]	protein_coding	5	143902704	143909847	-1
ENSMUSG00000029613	15467	Eif2ak1	Eukaryotic translation initiation factor 2-alpha kinase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z2R9]	protein_coding	5	143817788	143904251	1
ENSMUSG00000029617	231874	Ccz1	Vacuolar fusion   [Source:UniProtKB/Swiss-Prot;Acc:Q8C1Y8]	protein_coding	5	143987909	144014877	-1
ENSMUSG00000029621	56443	Arpc1a	Actin-related protein 2/3 complex subunit 1A  [Source:UniProtKB/Swiss-Prot;Acc:Q9R0Q6]	protein_coding	5	145083830	145108761	1
ENSMUSG00000029622	11867	Arpc1b	Actin-related protein 2/3 complex subunit 1B  [Source:UniProtKB/Swiss-Prot;Acc:Q9WV32]	protein_coding	5	145114215	145130705	1
ENSMUSG00000029623	231887	Pdap1	PDGFA associated protein 1 [Source:MGI Symbol;Acc:MGI:2448536]	protein_coding	5	145128769	145140238	-1
ENSMUSG00000029624	71799	Ptcd1	Pentatricopeptide repeat-containing protein 1, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q8C2E4]	protein_coding	5	145147514	145167108	-1
ENSMUSG00000029625	54188	Cpsf4	Cleavage and polyadenylation specificity factor subunit 4  [Source:UniProtKB/Swiss-Prot;Acc:Q8BQZ5]	protein_coding	5	145167213	145182041	1
ENSMUSG00000029627	67235	Zkscan14	zinc finger with KRAB and SCAN domains 14 [Source:MGI Symbol;Acc:MGI:1914485]	protein_coding	5	145194946	145201868	-1
ENSMUSG00000029630	56388	Cyp3a25	Cytochrome P450 3A25  [Source:UniProtKB/Swiss-Prot;Acc:O09158]	protein_coding	5	145977194	146009618	-1
ENSMUSG00000029634	74132	Rnf6	E3 ubiquitin-protein ligase RNF6  [Source:UniProtKB/Swiss-Prot;Acc:Q9DBU5]	protein_coding	5	146209192	146221555	-1
ENSMUSG00000029635	264064	Cdk8	Cyclin-dependent kinase 8  [Source:UniProtKB/Swiss-Prot;Acc:Q8R3L8]	protein_coding	5	146231230	146302874	1
ENSMUSG00000029636	245880	Wasf3	WAS protein family, member 3 [Source:MGI Symbol;Acc:MGI:2658986]	protein_coding	5	146384985	146473615	1
ENSMUSG00000029640	22217	Usp12	ubiquitin specific peptidase 12 [Source:MGI Symbol;Acc:MGI:1270128]	protein_coding	5	146734809	146795006	-1
ENSMUSG00000029641	68895	Rasl11a	Ras-like protein family member 11A  [Source:UniProtKB/Swiss-Prot;Acc:Q6IMB1]	protein_coding	5	146845071	146847726	1
ENSMUSG00000029642	20018	Polr1d	polymerase (RNA) I polypeptide D [Source:MGI Symbol;Acc:MGI:108403]	protein_coding	5	147077050	147111597	1
ENSMUSG00000029647	72587	Pan3	PAN2-PAN3 deadenylation complex subunit Pan3  [Source:UniProtKB/Swiss-Prot;Acc:Q640Q5]	protein_coding	5	147430161	147548502	1
ENSMUSG00000029648	14254	Flt1	fms related tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]	protein_coding	5	147561604	147726011	-1
ENSMUSG00000029649	66537	Pomp	Proteasome maturation protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9CQT5]	protein_coding	5	147860461	147876456	1
ENSMUSG00000029650	71706	Slc46a3	Solute carrier family 46 member 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9DC26]	protein_coding	5	147878437	147894815	-1
ENSMUSG00000029651	77521	Mtus2	Microtubule-associated tumor suppressor candidate 2 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q3UHD3]	protein_coding	5	147957320	148316065	1
ENSMUSG00000029655	381695	N4bp2l2	NEDD4-binding protein 2-like 2  [Source:UniProtKB/Swiss-Prot;Acc:Q8JZS6]	protein_coding	5	150608007	150666183	-1
ENSMUSG00000029657	15505	Hsph1	Mus musculus heat shock 105kDa/110kDa protein 1 (Hsph1), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001347534]	protein_coding	5	149614287	149636376	-1
ENSMUSG00000029658	381693	Wdr95	WD40 repeat domain 95 [Source:MGI Symbol;Acc:MGI:1923042]	protein_coding	5	149528679	149611894	1
ENSMUSG00000029659	70717	Medag	Mus musculus mesenteric estrogen dependent adiposis (Medag), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001356995]	protein_coding	5	149411749	149431723	1
ENSMUSG00000029660	75860	Tex26	testis expressed 26 [Source:MGI Symbol;Acc:MGI:1923110]	protein_coding	5	149439660	149470979	1
ENSMUSG00000029673	319974	Auts2	Autism susceptibility 2 protein homolog  [Source:UniProtKB/Swiss-Prot;Acc:A0A087WPF7]	protein_coding	5	131437333	132543344	-1
ENSMUSG00000029674	16885	Limk1	LIM domain kinase 1  [Source:UniProtKB/Swiss-Prot;Acc:P53668]	protein_coding	5	134656039	134688598	-1
ENSMUSG00000029675	13717	Eln	Elastin  [Source:UniProtKB/Swiss-Prot;Acc:P54320]	protein_coding	5	134702593	134747323	-1
ENSMUSG00000029681	12054	Bcl7b	B-cell CLL/lymphoma 7 protein family member B  [Source:UniProtKB/Swiss-Prot;Acc:Q921K9]	protein_coding	5	135168283	135181855	1
ENSMUSG00000029699	109267	Ssc4d	scavenger receptor cysteine rich family, 4 domains [Source:MGI Symbol;Acc:MGI:1924709]	protein_coding	5	135960211	135974531	-1
ENSMUSG00000029703	71735	Lrwd1	Leucine-rich repeat and WD repeat-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q8BUI3]	protein_coding	5	136122772	136136074	-1
ENSMUSG00000029705	13047	Cux1	cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568]	protein_coding	5	136248135	136567490	-1
ENSMUSG00000029710	13846	Ephb4	Ephrin type-B receptor 4  [Source:UniProtKB/Swiss-Prot;Acc:P54761]	protein_coding	5	137350109	137378669	1
ENSMUSG00000029713	14693	Gnb2	guanine nucleotide binding protein (G protein), beta 2 [Source:MGI Symbol;Acc:MGI:95784]	protein_coding	5	137528127	137533510	-1
ENSMUSG00000029714	57330	Gigyf1	GRB10-interacting GYF protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q99MR1]	protein_coding	5	137518548	137527935	1
ENSMUSG00000029715	74097	Pop7	Ribonuclease P protein subunit p20  [Source:UniProtKB/Swiss-Prot;Acc:Q9DCH2]	protein_coding	5	137501438	137502518	-1
ENSMUSG00000029716	50765	Tfr2	Transferrin receptor protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9JKX3]	protein_coding	5	137569840	137587481	1
ENSMUSG00000029718	18542	Pcolce	Procollagen C-endopeptidase enhancer 1  [Source:UniProtKB/Swiss-Prot;Acc:Q61398]	protein_coding	5	137605103	137613784	-1
ENSMUSG00000029720	NA	Gm20605	predicted gene 20605 [Source:MGI Symbol;Acc:MGI:5306917]	protein_coding	5	137629175	137642899	1
ENSMUSG00000029722	231801	Agfg2	Arf-GAP domain and FG repeat-containing protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q80WC7]	protein_coding	5	137650463	137684726	-1
ENSMUSG00000029723	78829	Tsc22d4	TSC22 domain family, member 4 [Source:MGI Symbol;Acc:MGI:1926079]	protein_coding	5	137745730	137768450	1
ENSMUSG00000029725	69871	Ppp1r35	Protein phosphatase 1 regulatory subunit 35  [Source:UniProtKB/Swiss-Prot;Acc:Q9D8C8]	protein_coding	5	137778849	137780110	1
ENSMUSG00000029726	231803	Mepce	7SK snRNA methylphosphate capping enzyme  [Source:UniProtKB/Swiss-Prot;Acc:Q8K3A9]	protein_coding	5	137781906	137787655	-1
ENSMUSG00000029727	13113	Cyp3a13	Cytochrome P450 3A13  [Source:UniProtKB/Swiss-Prot;Acc:Q64464]	protein_coding	5	137892932	137921619	-1
ENSMUSG00000029729	74570	Zkscan1	zinc finger with KRAB and SCAN domains 1 [Source:MGI Symbol;Acc:MGI:1921820]	protein_coding	5	138085084	138107822	1
ENSMUSG00000029730	17220	Mcm7	minichromosome maintenance complex component 7 [Source:MGI Symbol;Acc:MGI:1298398]	protein_coding	5	138164583	138172422	-1
ENSMUSG00000033970	69263	Rfc3	replication factor C (activator 1) 3 [Source:MGI Symbol;Acc:MGI:1916513]	protein_coding	5	151642756	151651242	-1
ENSMUSG00000034021	100710	Pds5b	Mus musculus PDS5 cohesin associated factor B (Pds5b), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001346503]	protein_coding	5	150673739	150810690	1
ENSMUSG00000034040	212996	Galnt17	Polypeptide N-acetylgalactosaminyltransferase 17  [Source:UniProtKB/Swiss-Prot;Acc:Q7TT15]	protein_coding	5	130872082	131308497	-1
ENSMUSG00000034110	212919	Kctd7	BTB/POZ domain-containing protein KCTD7  [Source:UniProtKB/Swiss-Prot;Acc:Q8BJK1]	protein_coding	5	130144861	130155806	1
ENSMUSG00000034118	22021	Tpst1	protein-tyrosine sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1298231]	protein_coding	5	130073326	130135729	1
ENSMUSG00000034173	71970	Zbed5	zinc finger, BED type containing 5 [Source:MGI Symbol;Acc:MGI:1919220]	protein_coding	5	129895723	129903623	1
ENSMUSG00000034211	66258	Mrps17	28S ribosomal protein S17, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q9CQE3]	protein_coding	5	129715497	129722556	1
ENSMUSG00000034310	243274	Tmem132d	transmembrane protein 132D [Source:HGNC Symbol;Acc:HGNC:29411]	protein_coding	5	127781630	128433077	-1
ENSMUSG00000034324	208213	Tmem132c	transmembrane protein 132C [Source:HGNC Symbol;Acc:HGNC:25436]	protein_coding	5	127241808	127565793	1
ENSMUSG00000036526	108723	Card11	Caspase recruitment domain-containing protein 11  [Source:UniProtKB/Swiss-Prot;Acc:Q8CIS0]	protein_coding	5	140872990	141000582	-1
ENSMUSG00000036555	74239	Iqce	IQ domain-containing protein E  [Source:UniProtKB/Swiss-Prot;Acc:Q6PCQ0]	protein_coding	5	140661827	140702378	-1
ENSMUSG00000036565	78339	Ttyh3	tweety family member 3 [Source:MGI Symbol;Acc:MGI:1925589]	protein_coding	5	140620578	140649031	-1
ENSMUSG00000036599	59031	Chst12	Carbohydrate sulfotransferase 12  [Source:UniProtKB/Swiss-Prot;Acc:Q99LL3]	protein_coding	5	140505550	140525724	1
ENSMUSG00000036639	17766	Nudt1	nudix (nucleoside diphosphate linked moiety X)-type motif 1 [Source:MGI Symbol;Acc:MGI:109280]	protein_coding	5	140321656	140338137	1
ENSMUSG00000036687	231832	Tmem184a	transmembrane protein 184a [Source:MGI Symbol;Acc:MGI:2385897]	protein_coding	5	139802485	139819917	-1
ENSMUSG00000036718	231830	Micall2	MICAL-like protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q3TN34]	protein_coding	5	139706696	139736336	-1
ENSMUSG00000036817	77053	Sun1	Sad1 and UNC84 domain containing 1 [Source:MGI Symbol;Acc:MGI:1924303]	protein_coding	5	139200637	139249840	1
ENSMUSG00000036898	72154	Zfp157	zinc finger protein 157 [Source:MGI Symbol;Acc:MGI:1919404]	protein_coding	5	138441468	138460694	1
ENSMUSG00000036928	50878	Stag3	Cohesin subunit SA-3  [Source:UniProtKB/Swiss-Prot;Acc:O70576]	protein_coding	5	138280240	138312393	1
ENSMUSG00000036948	231807	BC037034	chromosome 7 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:25604]	protein_coding	5	138259656	138264033	-1
ENSMUSG00000036968	66455	Cnpy4	 4  [Source:UniProtKB/Swiss-Prot;Acc:Q8BQ47]	protein_coding	5	138187485	138193918	1
ENSMUSG00000036980	21343	Taf6	Mus musculus TATA-box binding protein associated factor 6 (Taf6), transcript variant 4, mRNA. [Source:RefSeq mRNA;Acc:NM_001356602]	protein_coding	5	138178617	138187451	-1
ENSMUSG00000037007	56314	Zfp113	zinc finger protein 113 [Source:MGI Symbol;Acc:MGI:1929116]	protein_coding	5	138139702	138155744	-1
ENSMUSG00000037017	22697	Zscan21	zinc finger and SCAN domain containing 21 [Source:MGI Symbol;Acc:MGI:99182]	protein_coding	5	138116903	138134265	1
ENSMUSG00000037108	381678	Zcwpw1	zinc finger, CW type with PWWP domain 1 [Source:MGI Symbol;Acc:MGI:2685899]	protein_coding	5	137787798	137822621	1
ENSMUSG00000037221	68929	Mospd3	Motile sperm domain-containing protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q8BGG6]	protein_coding	5	137596645	137601058	-1
ENSMUSG00000037344	83704	Slc12a9	Solute carrier family 12 member 9  [Source:UniProtKB/Swiss-Prot;Acc:Q99MR3]	protein_coding	5	137314558	137333597	-1
ENSMUSG00000037364	83701	Srrt	Serrate RNA effector molecule homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q99MR6]	protein_coding	5	137295704	137307674	-1
ENSMUSG00000037411	18787	Serpine1	serine (or cysteine) peptidase inhibitor, clade E, member 1 [Source:MGI Symbol;Acc:MGI:97608]	protein_coding	5	137061504	137072268	-1
ENSMUSG00000037428	381677	Vgf	VGF nerve growth factor inducible [Source:MGI Symbol;Acc:MGI:1343180]	protein_coding	5	137026392	137033351	1
ENSMUSG00000037905	76809	Bri3bp	BRI3-binding protein  [Source:UniProtKB/Swiss-Prot;Acc:Q8BXV2]	protein_coding	5	125441568	125460370	1
ENSMUSG00000037936	20778	Scarb1	Scavenger receptor class B member 1  [Source:UniProtKB/Swiss-Prot;Acc:Q61009]	protein_coding	5	125277087	125341094	-1
ENSMUSG00000037962	73121	Rflna	Refilin-A  [Source:UniProtKB/Swiss-Prot;Acc:Q7TS73]	protein_coding	5	125003221	125012547	1
ENSMUSG00000037979	215707	Ccdc92	Coiled-coil domain-containing protein 92  [Source:UniProtKB/Swiss-Prot;Acc:Q8VDN4]	protein_coding	5	124834418	124862424	-1
ENSMUSG00000038011	56087	Dnah10		protein_coding	5	124725085	124834308	1
ENSMUSG00000038023	21871	Atp6v0a2	V-type proton ATPase 116 kDa subunit a isoform 2  [Source:UniProtKB/Swiss-Prot;Acc:P15920]	protein_coding	5	124628576	124724455	1
ENSMUSG00000038095	243272	Sbno1	strawberry notch 1 [Source:MGI Symbol;Acc:MGI:2384298]	protein_coding	5	124368702	124426001	-1
ENSMUSG00000038126	269702	Mphosph9	M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215]	protein_coding	5	124250959	124327972	-1
ENSMUSG00000038342	208104	Mlxip	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	protein_coding	5	123394798	123457932	1
ENSMUSG00000038384	208043	Setd1b	Histone-lysine N-methyltransferase SETD1B  [Source:UniProtKB/Swiss-Prot;Acc:Q8CFT2]	protein_coding	5	123142193	123168629	1
ENSMUSG00000038569	231724	Rad9b	RAD9 checkpoint clamp component B [Source:MGI Symbol;Acc:MGI:2385231]	protein_coding	5	122323223	122354233	-1
ENSMUSG00000038582	320717	Pptc7	Protein phosphatase PTC7 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q6NVE9]	protein_coding	5	122284365	122324281	1
ENSMUSG00000038593	654470	Tctn1	Tectonic-1  [Source:UniProtKB/Swiss-Prot;Acc:Q8BZ64]	protein_coding	5	122237848	122264460	-1
ENSMUSG00000038690	57423	Atp5j2	ATP synthase subunit f, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P56135]	protein_coding	5	145183698	145192062	-1
ENSMUSG00000038722	231889	Bud31	BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]	protein_coding	5	145140362	145148078	1
ENSMUSG00000038770	381686	Kpna7	Importin subunit alpha-8  [Source:UniProtKB/Swiss-Prot;Acc:C0LLJ0]	protein_coding	5	144983519	145084030	-1
ENSMUSG00000038780	75788	Smurf1	E3 ubiquitin-protein ligase SMURF1  [Source:UniProtKB/Swiss-Prot;Acc:Q9CUN6]	protein_coding	5	144876495	144965847	-1
ENSMUSG00000038859	66898	Baiap2l1	Brain-specific angiosis inhibitor 1-associated protein 2-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9DBJ3]	protein_coding	5	144264526	144358112	-1
ENSMUSG00000038970	231876	Lmtk2	Serine/threonine-protein kinase LMTK2  [Source:UniProtKB/Swiss-Prot;Acc:Q3TYD6]	protein_coding	5	144100436	144188204	1
ENSMUSG00000039206	231871	Daglb	Sn1-specific diacylglycerol lipase beta  [Source:UniProtKB/Swiss-Prot;Acc:Q91WC9]	protein_coding	5	143464584	143505942	1
ENSMUSG00000039244	231868	E130309D02Rik	RIKEN cDNA E130309D02 gene [Source:MGI Symbol;Acc:MGI:2442621]	protein_coding	5	143301195	143315360	-1
ENSMUSG00000039477	231861	Tnrc18	trinucleotide repeat-containing 18 protein isoform A  [Source:RefSeq peptide;Acc:NP_001116202]	protein_coding	5	142724661	142817662	-1
ENSMUSG00000039533	75104	Mmd2	Monocyte to macrophage differentiation factor 2  [Source:UniProtKB/Swiss-Prot;Acc:Q8R189]	protein_coding	5	142562358	142608800	-1
ENSMUSG00000039623	231855	Ap5z1	AP-5 complex subunit zeta-1  [Source:UniProtKB/Swiss-Prot;Acc:Q3U829]	protein_coding	5	142463944	142478710	1
ENSMUSG00000039683	330222	Sdk1	Protein sidekick-1  [Source:UniProtKB/Swiss-Prot;Acc:Q3UH53]	protein_coding	5	141241490	142215586	1
ENSMUSG00000039737	66801	Prkrip1	PRKR-interacting protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9CWV6]	protein_coding	5	136178127	136198963	-1
ENSMUSG00000039747	269717	Orai2	Protein orai-2  [Source:UniProtKB/Swiss-Prot;Acc:Q8BH10]	protein_coding	5	136147459	136170713	-1
ENSMUSG00000039754	72041	Alkbh4	Mus musculus alkB homolog 4, lysine demethylase (Alkbh4), transcript variant 1, mRNA. [Source:RefSeq mRNA;Acc:NM_001347492]	protein_coding	5	136136146	136141615	1
ENSMUSG00000039771	20022	Polr2j	polymerase (RNA) II (DNA directed) polypeptide J [Source:MGI Symbol;Acc:MGI:109582]	protein_coding	5	136116631	136122947	1
ENSMUSG00000039860	58212	Srrm3	Serine/arginine repetitive matrix protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q80WV7]	protein_coding	5	135806890	135874772	1
ENSMUSG00000039886	215210	Tmem120a	Transmembrane protein 120A  [Source:UniProtKB/Swiss-Prot;Acc:Q8C1E7]	protein_coding	5	135735485	135744448	-1
ENSMUSG00000039917	215160	Rhbdd2	Mus musculus rhomboid domain containing 2 (Rhbdd2), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001357037]	protein_coding	5	135632618	135646448	1
ENSMUSG00000039959	215114	Hip1	Huntingtin-interacting protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q8VD75]	protein_coding	5	135406531	135545120	-1
ENSMUSG00000040532	68758	Abhd11	abhydrolase domain containing 11 [Source:MGI Symbol;Acc:MGI:1916008]	protein_coding	5	135009152	135012175	1
ENSMUSG00000040557	79565	Mettl27	methyltransferase like 27 [Source:MGI Symbol;Acc:MGI:1933146]	protein_coding	5	134932368	134942637	1
ENSMUSG00000040731	22384	Eif4h	Eukaryotic translation initiation factor 4H  [Source:UniProtKB/Swiss-Prot;Acc:Q9WUK2]	protein_coding	5	134619721	134639490	-1
ENSMUSG00000040751	56743	Lat2	Linker for activation of T-cells family member 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9JHL0]	protein_coding	5	134600022	134615025	-1
ENSMUSG00000041132	100637	N4bp2l1	NEDD4-binding protein 2-like 1  [Source:UniProtKB/Swiss-Prot;Acc:Q3V2Q8]	protein_coding	5	150571644	150597188	-1
ENSMUSG00000041147	12190	Brca2	Breast cancer type 2 susceptibility protein homolog  [Source:UniProtKB/Swiss-Prot;Acc:P97929]	protein_coding	5	150522630	150570329	1
ENSMUSG00000041264	231915	Uspl1	ubiquitin specific peptidase like 1 [Source:MGI Symbol;Acc:MGI:2442342]	protein_coding	5	149184350	149215434	1
ENSMUSG00000041298	231912	Katnal1	Katanin p60 ATPase-containing subunit A-like 1  [Source:UniProtKB/Swiss-Prot;Acc:Q8K0T4]	protein_coding	5	148871584	148929320	-1
ENSMUSG00000041313	11987	Slc7a1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 [Source:MGI Symbol;Acc:MGI:88117]	protein_coding	5	148327410	148399904	-1
ENSMUSG00000041453	19933	Rpl21		protein_coding	5	146832890	146837032	1
ENSMUSG00000042589	13048	Cux2	Homeobox protein cut-like 2  [Source:UniProtKB/Swiss-Prot;Acc:P70298]	protein_coding	5	121856366	122050102	-1
ENSMUSG00000042594	16923	Sh2b3	SH2B adapter protein 3  [Source:UniProtKB/Swiss-Prot;Acc:O09039]	protein_coding	5	121815488	121837646	-1
ENSMUSG00000042605	20239	Atxn2	ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]	protein_coding	5	121711337	121816493	1
ENSMUSG00000042647	338350	Acad12	acyl-Coenzyme A dehydrogenase family, member 12 [Source:MGI Symbol;Acc:MGI:2443320]	protein_coding	5	121596775	121618938	-1
ENSMUSG00000042985	100647	Upk3b	uroplakin 3B [Source:MGI Symbol;Acc:MGI:2140882]	protein_coding	5	136038496	136046487	1
ENSMUSG00000043036	330188	Ccdc63	coiled-coil domain-containing protein 63 isoform 3  [Source:RefSeq peptide;Acc:NP_001276740]	protein_coding	5	122108040	122140823	-1
ENSMUSG00000043279	384309	Trim56	tripartite motif containing 56 [Source:HGNC Symbol;Acc:HGNC:19028]	protein_coding	5	137105644	137116209	-1
ENSMUSG00000043388	243339	Tmem130	Transmembrane protein 130  [Source:UniProtKB/Swiss-Prot;Acc:Q6NXM3]	protein_coding	5	144735915	144761818	-1
ENSMUSG00000043614	194309	Vps37d	vacuolar protein sorting 37D [Source:MGI Symbol;Acc:MGI:2159402]	protein_coding	5	135072900	135078266	-1
ENSMUSG00000044017	243277	Adgrd1	Adhesion G-protein coupled receptor D1  [Source:UniProtKB/Swiss-Prot;Acc:Q80T32]	protein_coding	5	129096750	129204599	1
ENSMUSG00000044092	319772	C130050O18Rik	RIKEN cDNA C130050O18 gene [Source:MGI Symbol;Acc:MGI:2442694]	protein_coding	5	139405280	139415623	1
ENSMUSG00000044134	231717	Fam109a	Sesquipedalian-1  [Source:UniProtKB/Swiss-Prot;Acc:Q8BH49]	protein_coding	5	121848984	121854632	1
